STOP_ID,STOP_NAME,MODE,LONGITUDE,LATITUDE
17816,Scott St/Woolcock St,REGIONAL BUS,142.395333,-36.250911
17817,Swann St/Henty Hwy,REGIONAL BUS,142.421041,-36.076742
17818,Swann St/Henty Hwy,REGIONAL BUS,142.421277,-36.076499
17821,Hogans Newsagent/Phillips St,REGIONAL BUS,142.420908,-35.939399
17825,Austin St/Henty Hwy,REGIONAL BUS,142.364362,-35.726589
17826,Austin St/Henty Hwy,REGIONAL BUS,142.364671,-35.726970
17827,Coach Terminal/24 Roberts Ave,REGIONAL BUS,142.200519,-36.714191
17828,Fisher St/Western Hwy,REGIONAL BUS,142.118327,-36.584692
17829,Fisher St/Western Hwy,REGIONAL BUS,142.118188,-36.584767
17831,Car Park Rear Toilet Block/Lloyd St,REGIONAL BUS,142.026636,-36.453631
17835,Information Centre/Western Hwy,REGIONAL BUS,141.649122,-36.333917
17837,Kaniva Community Roadhouse/Western Hwy,REGIONAL BUS,141.240840,-36.378832
17840,Caltex Station/Calder Hwy,REGIONAL BUS,142.318754,-35.069387
17841,Caltex Station/Calder Hwy,REGIONAL BUS,142.319038,-35.069597
17963,Miners Rest Hotel/138 McKenzie St,REGIONAL BUS,145.592145,-38.595752
17967,Seaward Dr/Cape Paterson Rd,REGIONAL BUS,145.621155,-38.667476
17968,Seaward Dr/Cape Paterson Rd,REGIONAL BUS,145.620965,-38.667771
17969,Ramsay Bvd/The Esplanade,REGIONAL BUS,145.729677,-38.634606
17970,Gurdies - St Helier Rd/Bass Hwy,REGIONAL BUS,145.563053,-38.371534
17973,Red Cliffs Post Office/Indi Ave ,REGIONAL BUS,142.187573,-34.307233
17976,Mildura Station/Seventh St ,REGIONAL BUS,142.163234,-34.182106
17977,General Store/Sunraysia Hwy,REGIONAL BUS,142.424803,-35.345315
17978,General Store/Sunraysia Hwy,REGIONAL BUS,142.424623,-35.344984
17979,Service Station/Sunraysia Hwy,REGIONAL BUS,142.438837,-35.401944
17980,Service Station/Sunraysia Hwy,REGIONAL BUS,142.438659,-35.401784
17983,Boree St/Sunraysia Hwy,REGIONAL BUS,142.579257,-35.607881
17984,Boree St/Sunraysia Hwy,REGIONAL BUS,142.579292,-35.607846
17985,Woomelang Station/Sunraysia Hwy,REGIONAL BUS,142.664425,-35.682470
17986,Woomelang Station/Sunraysia Hwy,REGIONAL BUS,142.664299,-35.682556
17987,Memorial Park/Cumming Ave,REGIONAL BUS,142.917912,-35.981265
17989,Post Office/Sunraysia Hwy,REGIONAL BUS,142.982667,-36.370667
17991,Dundas St/Market St,REGIONAL BUS,143.258620,-36.615295
17997,Havelock St/Clarendon St,REGIONAL BUS,143.736115,-37.047050
18000,Avoca Hotel/Sunraysia Hwy,REGIONAL BUS,143.473875,-37.089019
18001,Avoca Information Centre/Sunraysia Hwy,REGIONAL BUS,143.474402,-37.088818
1801,199 High St,REGIONAL BUS,143.471251,-37.080859
18335,Michael St/Princes Hwy,REGIONAL BUS,145.456058,-38.061862
18686,Post Office/Myrtle St,REGIONAL BUS,146.724970,-36.561292
18687,Post Office/Myrtle St,REGIONAL BUS,146.725080,-36.561643
